Flight No.,"Version,Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,1,2,3,4,5,6,7,Payload,Launch outcome,Version Booster,Booster landing,Date,Time
94,,CCAFS,,"15,600 kg",LEO,,,,,,,,,,,Starlink,['Success\n'],F9 B5,Success,"['19 January 2020,', '15:30']",14:07
95,,CCAFS,,"1,977 kg",LEO,,,,,,,,,,,Starlink,['Success\n'],F9 B5,Success,"['29 January 2020,', '14:07']",15:05
96,,CCAFS,,"15,600 kg",LEO,,,,,,,,,,,SpaceX CRS-20,['Success\n'],F9 B5,Success,"['17 February 2020,', '15:05']",04:50
97,,KSC,,"15,600 kg",LEO,,,,,,,,,,,Starlink,['Success\n'],F9 B5,Success,"['7 March 2020,', '04:50']",12:16
98,,KSC,,"12,530 kg",LEO,,,,,,,,,,,Starlink,['Success\n'],F9 B5,Success,"['18 March 2020,', '12:16']",19:30
99,,KSC,,"15,600 kg",LEO,,,,,,,,,,,Crew Dragon Demo-2,['Success\n'],F9 B5,Success,"['22 April 2020,', '19:30']",19:22
100,,CCAFS,,"15,410 kg",MEO,,,,,,,,,,,Starlink,['Success\n'],F9 B5,Success,"['30 May 2020,', '19:22']",01:25
101,,CCAFS,,"4,311 kg",GTO,,,,,,,,,,,Starlink,['Success\n'],F9 B5,Success,"['4 June 2020,', '01:25']",09:21
102,,CCAFS,,"5,000–6,000 kg",LEO,,,,,,,,,,,GPS III,['Success\n'],F9 B5,Success,"['13 June 2020,', '09:21']",20:10:46
103,,CCAFS,,"14,932 kg",LEO,,,,,,,,,,,ANASIS-II,['Success\n'],F9 B5B1058.2,Success,"['30 June 2020,', '20:10:46']",21:30
104,,KSC,,"~15,440 kg",SSO,,,,,,,,,,,Starlink,['Success\n'],F9 B5,Success,"['20 July 2020,', '21:30']",05:12
105,,CCAFS,,"3,130 kg",LEO,,,,,,,,,,,Starlink,['Success\n'],F9 B5B1049.6,Success,"['7 August 2020,', '05:12']",14:31
106,,CCAFS,,"15,600 kg",LEO,,,,,,,,,,,SAOCOM 1B,['Success\n'],F9 B5,Success,"['18 August 2020', '14:31']",23:18
107,,KSC,,"15,600 kg",LEO,,,,,,,,,,,Starlink,['Success\n'],F9 B5B1060.2,Success,"['30 August 2020', '23:18']",12:46:14
108,,KSC,,"15,600 kg",LEO,,,,,,,,,,,Starlink,['Success\n'],F9 B5B1058.3,Success,"['3 September 2020', '12:46:14']",11:29:34
109,,KSC,,"15,600 kg",MEO,,,,,,,,,,,Starlink,['Success\n'],F9 B5B1051.6,Success,"['6 October 2020', '11:29:34']",12:25:57
110,,CCAFS,,"4,311 kg",LEO,,,,,,,,,,,Starlink,['Success\n'],F9 B5,Success,"['18 October 2020', '12:25:57']",15:31:34
111,,CCAFS,,"~12,500 kg",LEO,,,,,,,,,,,GPS III,['Success\n'],F9 B5,Success,"['24 October 2020', '15:31:34']",23:24:23
112,,KSC,,"1,192 kg",LEO,,,,,,,,,,,Crew-1,['Success\n'],F9 B5,Success,"['5 November 2020', '23:24:23']",00:27
113,,VAFB,,"15,600 kg",LEO,,,,,,,,,,,Sentinel-6 Michael Freilich (Jason-CS A),['Success\n'],F9 B5,Success,"['16 November 2020', '00:27']",17:17:08
114,,CCAFS,,"2,972 kg",GTO,,,,,,,,,,,Starlink,['Success\n'],F9 B5 ♺,Success,"['21 November 2020', '17:17:08']",02:13
115,,KSC,,"7,000 kg",LEO,,,,,,,,,,,SpaceX CRS-21,['Success\n'],F9 B5 ♺,Success,"['25 November 2020', '02:13']",16:17:08
116,,CCSFS,,C,GTO,"Various
",,,,,,,,,,SXM-7,['Success\n'],F9 B5 ♺,Success,"['6 December 2020', '16:17:08']",17:30:00
117,,KSC,,"3,500 kg",LEO,,,,,,,,,,,NROL-108,['Success\n'],F9 B5 ♺,Failure,"['13 December 2020', '17:30:00']",14:00:00
118,,CCSFS,,"15,600 kg",SSO,,,,,,,,,,,Türksat 5A,['Success\n'],F9 B5,Success,"['19 December 2020', '14:00:00']",02:15
119,,KSC,,"~5,000 kg",LEO,,,,,,,,,,,Starlink,['Success\n'],F9 B5B1051.8,Success,"['8 January 2021', '02:15']",13:02
120,,CCSFS,,"15,600 kg",LEO,,,,,,,,,,,Transporter-1,['Success\n'],F9 B5B1058.5,Success,"['20 January 2021', '13:02']",15:00
121,,CCSFS,,"15,600 kg",LEO,,,,,,,,,,,Starlink,['Success\n'],F9 B5 ♺,Success,"['24 January 2021', '15:00']",06:19
1,,CCSFS,,"15,600 kg",LEO,,,,,,,,,,,Starlink,['Success\n'],F9 B5 ♺,Success,"['4 February 2021', '06:19']",03:59:37
2,,KSC,,"15,600 kg",LEO,,,,,,,,,,,Starlink,['Success\n'],F9 B5 ♺,Success,"['16 February 2021', '03:59:37']",08:24
3,,CCSFS,,"15,600 kg",LEO,,,,,,,,,,,Starlink,['Success\n'],F9 B5 ♺,Success,"['4 March 2021', '08:24']",08:13:29
4,,KSC,,"15,600 kg",LEO,,,,,,,,,,,Starlink,['Success\n'],F9 B5 ♺,Success,"['11 March 2021', '08:13:29']",10:01
5,,CCSFS,,"15,600 kg",LEO,,,,,,,,,,,Starlink,['Success\n'],F9 B5B1060.6,Success,"['14 March 2021', '10:01']",08:28
6,,CCSFS,,"~13,000 kg",LEO,,,,,,,,,,,Starlink,['Success\n'],F9 B5 ♺,Success,"['24 March 2021', '08:28']",16:34
7,,KSC,,"15,600 kg",LEO,,,,,,,,,,,Crew-2,['Success\n'],F9 B5B1061.2,Success,"['7 April 2021', '16:34']",9:49
8,,CCSFS,,"15,600 kg",LEO,,,,,,,,,,,Starlink,['Success\n'],F9 B5B1060.7,Success,"['23 April 2021', '9:49']",03:44
9,,KSC,,"15,600 kg",LEO,,,,,,,,,,,Starlink,['Success\n'],F9 B5B1049.9,Success,"['29 April 2021', '03:44']",19:01
10,,CCSFS,,"~14,000 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5B1051.10,Failure,"['4 May 2021', '19:01']",06:42
11,,KSC,,"15,600 kg",LEO,,,,,,,,,,,Starlink,Success,F9 B5B1058.8,Failure,"['9 May 2021', '06:42']",22:56
12,,CCSFS,,"3,328 kg",GTO,,,,,,,,,,,Starlink,Success,F9 B5B1063.2,"Not attempted
","['15 May 2021', '22:56']",18:59
13,,KSC,,"7,000 kg",LEO,,,,,,,,,,,SpaceX CRS-22,"Success
",F9 B5B1067.1,No attempt,"['26 May 2021', '18:59']",17:29
14,,CCSFS,,0,LEO,,,,,,,,,,,SXM-8,"Success
",F9 B5,"Not attempted
","['3 June 2021', '17:29']",04:26
15,,CCAFS,,0,LEO,,,,,,,,,,,Dragon Spacecraft Qualification Unit,Success,F9 v1.0B0003.1,Uncontrolled,"['6 June 2021', '04:26']",18:45
16,,CCAFS,,525 kg,LEO,,,,,,,,,,,Dragon,Success,F9 v1.0B0004.1,Not attempted,"['4 June 2010,', '18:45']",15:43
17,,CCAFS,,"4,700 kg",LEO,,,,,,,,,,,Dragon,Success,F9 v1.0B0005.1,Not attempted,"['8 December 2010,', '15:43']",07:44
18,,CCAFS,,"4,877 kg",Polar orbit,,,,,,,,,,,SpaceX CRS-1,"Success
",F9 v1.0B0006.1,Controlled,"['22 May 2012,', '07:44']",00:35
19,,CCAFS,,500 kg,GTO,,,,,,,,,,,SpaceX CRS-2,Success,F9 v1.0B0007.1,Controlled,"['8 October 2012,', '00:35']",15:10
20,,VAFB,,"3,170 kg",GTO,,,,,,,,,,,CASSIOPE,Success,F9 v1.1B1003,Not attempted,"['1 March 2013,', '15:10']",16:00
21,,CCAFS,,"3,325 kg",LEO,,,,,,,,,,,SES-8,Success,F9 v1.1,"Not attempted
","['29 September 2013,', '16:00']",22:41
22,,CCAFS,,"2,296 kg",LEO,,,,,,,,,,,Thaicom 6,Success,F9 v1.1,Uncontrolled,"['3 December 2013,', '22:41']",22:06
23,,Cape Canaveral,,"1,316 kg",GTO,,,,,,,,,,,SpaceX CRS-3,Success,F9 v1.1,Failure ,"['6 January 2014,', '22:06']",19:25
24,,Cape Canaveral,,"4,535 kg",GTO,,,,,,,,,,,Orbcomm-OG2,"Success
",F9 v1.1,Controlled,"['18 April 2014,', '19:25']",15:15
25,,Cape Canaveral,,"4,428 kg",LEO,,,,,,,,,,,AsiaSat 8,"Success
",F9 v1.1,Not attempted,"['14 July 2014,', '15:15']",08:00
26,,Cape Canaveral,,"2,216 kg",LEO,,,,,,,,,,,AsiaSat 6,"Success
",F9 v1.1,Failure,"['5 August 2014,', '08:00']",05:00
27,,Cape Canaveral,,"2,395 kg",HEO,,,,,,,,,,,SpaceX CRS-4,"Success
",F9 v1.1,Not attempted,"['7 September 2014,', '05:00']",05:52
28,,Cape Canaveral,,570 kg,GTO,,,,,,,,,,,SpaceX CRS-5,Failure,F9 v1.1,Precluded,"['21 September 2014,', '05:52']",09:47
29,,Cape Canaveral,,"4,159 kg",LEO,,,,,,,,,,,DSCOVR,"Success
",F9 v1.1,Success,"['10 January 2015,', '09:47']",23:03
30,,Cape Canaveral,,"1,898 kg",GTO,,,,,,,,,,,ABS-3A,"Success
",F9 v1.1,Failure,"['11 February 2015,', '23:03']",03:50
31,,Cape Canaveral,,"4,707 kg",LEO,,,,,,,,,,,SpaceX CRS-6,"Success
",F9 v1.1,Failure,"['2 March 2015,', '03:50']",20:10
32,,Cape Canaveral,,"1,952 kg",LEO,,,,,,,,,,,TürkmenÄlem 52°E / MonacoSAT,Success,F9 v1.1,Success,"['14 April 2015,', '20:10']",23:03
33,,Cape Canaveral,,"2,034 kg",LEO,,,,,,,,,,,SpaceX CRS-7,"Success
",F9 v1.1,Success,"['27 April 2015,', '23:03']",14:21
34,,Cape Canaveral,,553 kg,GTO,,,,,,,,,,,Orbcomm-OG2,"Success
",F9 FT,Success,"['28 June 2015,', '14:21']",01:29
35,,VAFB,,"5,271 kg",LEO,,,,,,,,,,,Jason-3,"Success
",F9 v1.1,Failure,"['22 December 2015,', '01:29']",18:42
36,,Cape Canaveral,,"3,136 kg",GTO,,,,,,,,,,,SES-9,"Success
",F9 FT,Success,"['17 January 2016,', '18:42']",23:35
37,,Cape Canaveral,,"4,696 kg",GTO,,,,,,,,,,,SpaceX CRS-8,"Success
",F9 FT,Success,"['4 March 2016,', '23:35']",20:43
38,,Cape Canaveral,,"3,100 kg",GTO,,,,,,,,,,,JCSAT-14,"Success
",F9 FT,Success,"['8 April 2016,', '20:43']",05:21
39,,Cape Canaveral,,"3,600 kg",LEO,,,,,,,,,,,Thaicom 8,"Success
",F9 FT,Success,"['6 May 2016,', '05:21']",21:39
40,,Cape Canaveral,,"2,257 kg",GTO,,,,,,,,,,,ABS-2A,"Success
",F9 FT,Not attempted,"['27 May 2016,', '21:39']",14:29
41,,Cape Canaveral,,"4,600 kg",Polar,,,,,,,,,,,SpaceX CRS-9,Success,F9 FT,Success,"['15 June 2016,', '14:29']",04:45
42,,Cape Canaveral,,"9,600 kg",LEO,,,,,,,,,,,JCSAT-16,"Success
",F9 FT,Success,"['18 July 2016,', '04:45']",05:26
43,,VAFB,,"2,490 kg",GTO,,,,,,,,,,,Iridium NEXT,"Success
",F9 FT,Not attempted,"['14 August 2016,', '05:26']",17:54
44,,KSC,,"5,600 kg",GTO,,,,,,,,,,,SpaceX CRS-10,"Success
",F9 FT,Success,"['14 January 2017,', '17:54']",14:39
45,,KSC,,"5,300 kg",LEO,,,,,,,,,,,EchoStar 23,"Success
",F9 FT,Success,"['19 February 2017,', '14:39']",06:00
46,,KSC,,C,GTO,,,,,,,,,,,SES-10,"Success
",F9 FT♺,Success,"['16 March 2017,', '06:00']",22:27
47,,KSC,,"6,070 kg",LEO,,,,,,,,,,,NROL-76,"Success
",F9 FT,Not attempted,"['30 March 2017,', '22:27']",11:15
48,,KSC,,"2,708 kg",GTO,,,,,,,,,,,Inmarsat-5 F4,"Success
",F9 FT,Success,"['1 May 2017,', '11:15']",23:21
49,,KSC,,"3,669 kg",LEO,,,,,,,,,,,SpaceX CRS-11,"Success
",F9 FT,Success,"['15 May 2017,', '23:21']",21:07
50,,KSC,,"9,600 kg",GTO,,,,,,,,,,,BulgariaSat-1,"Success
",F9 FTB1029.2,Success,"['3 June 2017,', '21:07']",19:10
51,,VAFB,,"6,761 kg",LEO,,,,,,,,,,,Iridium NEXT,"Success
",F9 FT,Success,"['23 June 2017,', '19:10']",20:25
52,,KSC,,"3,310 kg",SSO,,,,,,,,,,,Intelsat 35e,"Success
",F9 FT,Success,"['25 June 2017,', '20:25']",23:38
53,,KSC,,475 kg,LEO,,,,,,,,,,,SpaceX CRS-12,"Success
",F9 B4,Success,"['5 July 2017,', '23:38']",16:31
54,,VAFB,,"4,990 kg",Polar,,,,,,,,,,,Formosat-5,"Success
",F9 FT,Success,"['14 August 2017,', '16:31']",18:51
55,,KSC,,"9,600 kg",GTO,,,,,,,,,,,Boeing X-37B,Success,F9 B4,Controlled,"['24 August 2017,', '18:51']",14:00
56,,VAFB,,"5,200 kg",GTO,,,,,,,,,,,Iridium NEXT,Success,F9 B4,Success,"['7 September 2017,', '14:00']",12:37
57,,KSC,,"3,500 kg",LEO,,,,,,,,,,,SES-11,Success,F9 FTB1031.2,Controlled,"['9 October 2017,', '12:37']",22:53:00
58,,KSC,,"2,205 kg",Polar,,,,,,,,,,,Koreasat 5A,Success,F9 B4,Not attempted,"['11 October 2017,', '22:53:00']",19:34
59,,Cape Canaveral,,"9,600 kg",LEO,,,,,,,,,,,SpaceX CRS-13,Success,F9 FTB1035.2,No attempt,"['30 October 2017,', '19:34']",15:36
60,,VAFB,,C,GTO,,,,,,,,,,,Iridium NEXT,Success,F9 FTB1036.2,No attempt,"['15 December 2017,', '15:36']",01:27
61,,CCAFS,,"4,230 kg",SSO,,,,,,,,,,,Zuma,Success,F9 B4,Not attempted,"['23 December 2017,', '01:27']",01:00
62,,CCAFS,,"2,150 kg",GTO,,,,,,,,,,,GovSat-1,Success,F9 FTB1032.2,Success,"['8 January 2018,', '01:00']",21:25
63,,VAFB,,"6,092 kg",Polar,,,,,,,,,,,Paz,Success,F9 FTB1038.2,Success,"['31 January 2018,', '21:25']",14:17
64,,CCAFS,,"9,600 kg",LEO,,,,,,,,,,,Hispasat 30W-6,Success,F9 B4,Not attempted,"['22 February 2018,', '14:17']",05:33
65,,VAFB,,"2,647 kg",HEO,,,,,,,,,,,Iridium NEXT,Success,F9 B4B1041.2,Not attempted,"['6 March 2018,', '05:33']",14:14
66,,CCAFS,,362 kg,GTO,,,,,,,,,,,SpaceX CRS-14,Success,F9 B4B1039.2,Not attempted,"['30 March 2018,', '14:14']",20:30
67,,CCAFS,,"3,600 kg",Polar,,,,,,,,,,,Transiting Exoplanet Survey Satellite,Success,F9 B4,Success,"['2 April 2018,', '20:30']",22:51
68,,KSC,,"6,460 kg",GTO,,,,,,,,,,,Bangabandhu-1,Success,F9 B5B1046.1,Success,"['18 April 2018,', '22:51']",20:14
69,,VAFB,,"5,384 kg",LEO,,,,,,,,,,,Iridium NEXT,Success,F9 B4B1043.2,Success,"['11 May 2018,', '20:14']",19:47
70,,CCAFS,,"2,697 kg",GTO,,,,,,,,,,,SES-12,Success,F9 B4B1040.2,Success,"['22 May 2018,', '19:47']",04:45
71,,CCAFS,,"7,075 kg",Polar,,,,,,,,,,,SpaceX CRS-15,Success,F9 B4B1045.2,Success,"['4 June 2018,', '04:45']",09:42
72,,CCAFS,,"9,600 kg",GTO,,,,,,,,,,,Telstar 19V,Success,F9 B5,Success,"['29 June 2018,', '09:42']",05:50
73,,VAFB,,"5,800 kg",GTO,,,,,,,,,,,Iridium NEXT,Success,F9 B5B1048,Success,"['22 July 2018,', '05:50']",11:39
74,,CCAFS,,"7,060 kg",SSO,,,,,,,,,,,Merah Putih,"Success
",F9 B5B1046.2,Failure,"['25 July 2018,', '11:39']",05:18
75,,CCAFS,,"3,000 kg",GTO,,,,,,,,,,,Telstar 18V,Success,F9 B5,Not attempted,"['7 August 2018,', '05:18']",04:45
76,,VAFB,,"5,300 kg",SSO,,,,,,,,,,,SAOCOM 1A,"Success
",F9 B5B1048.2,Success,"['10 September 2018,', '04:45']",02:22
77,,KSC,,"~4,000 kg",LEO,,,,,,,,,,,Es'hail 2,"Success
",F9 B5B1047.2,Success,"['8 October 2018,', '02:22']",20:46
78,,VAFB,,"2,500 kg",MEO,,,,,,,,,,,SSO-A,"Success
",F9 B5B1046.3,Success,"['15 November 2018,', '20:46']",18:34:05
79,,CCAFS,,"4,400 kg",Polar,,,,,,,,,,,SpaceX CRS-16,"Success
",F9 B5,Success,"['3 December 2018,', '18:34:05']",18:16
80,,CCAFS,,"9,600 kg",GTO,,,,,,,,,,,GPS III,"Success
",F9 B5,Success,"['5 December 2018,', '18:16']",13:51
81,,VAFB,,"4,850 kg",LEO,,,,,,,,,,,Iridium NEXT,"Success
",F9 B5B1049.2,Success,"['23 December 2018,', '13:51']",15:31
82,,CCAFS,,"12,055 kg",LEO,,,,,,,,,,,Nusantara Satu,"Success
",F9 B5B1048.3,Success,"['11 January 2019,', '15:31']",01:45
83,,KSC,,"2,495 kg",LEO,,,,,,,,,,,Crew Dragon Demo-1,"Success
",F9 B5[268],Not attempted,"['22 February 2019,', '01:45']",07:49
84,,CCAFS,,"13,620 kg",SSO,,,,,,,,,,,SpaceX CRS-17,"Success
",F9 B5,Success,"['2 March 2019,', '07:49']",06:48
85,,CCAFS,,"4,200 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5B1049.3,Success,"['4 May 2019,', '06:48']",02:30
86,,VAFB,,"2,268 kg",GTO,,,,,,,,,,,RADARSAT Constellation,"Success
",F9 B5B1051.2,Success,"['24 May 2019,', '02:30']",14:17
87,,CCAFS,,"6,500 kg",LEO,,,,,,,,,,,SpaceX CRS-18,"Success
",F9 B5B1056.2,Success,"['12 June 2019,', '14:17']",22:01
88,,CCAFS,,"15,600 kg",LEO,,,,,,,,,,,AMOS-17,"Success
",F9 B5B1047.3,"Not attempted
","['25 July 2019,', '22:01']",23:23
89,,CCAFS,,"2,617 kg",GTO,,,,,,,,,,,Starlink,"Success
",F9 B5,Success,"['6 August 2019,', '23:23']",14:56
90,,CCAFS,,"6,956 kg",LEO,,,,,,,,,,,SpaceX CRS-19,"Success
",F9 B5,Failure,"['11 November 2019,', '14:56']",17:29
91,,CCAFS,,"15,600 kg",Sub-orbital,,,,,,,,,,,JCSat-18,"Success
",F9 B5B1056.3,Success,"['5 December 2019,', '17:29']",00:10
92,,CCAFS,,"12,050 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5,Failure,"['17 December 2019,', '00:10']",02:19:21
93,,KSC,,"15,600 kg",LEO,,,,,,,,,,,Crew Dragon in-flight abort test,"Success
",F9 B5,Success,"['7 January 2020,', '02:19:21']",15:30
94,,CCAFS,,"15,600 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5,Success,"['19 January 2020,', '15:30']",14:07
95,,CCAFS,,"1,977 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5,Success,"['29 January 2020,', '14:07']",15:05
96,,CCAFS,,"15,600 kg",LEO,,,,,,,,,,,SpaceX CRS-20,"Success
",F9 B5,Success,"['17 February 2020,', '15:05']",04:50
97,,KSC,,"15,600 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5,Success,"['7 March 2020,', '04:50']",12:16
98,,KSC,,"12,530 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5,Success,"['18 March 2020,', '12:16']",19:30
99,,KSC,,"15,600 kg",LEO,,,,,,,,,,,Crew Dragon Demo-2,"Success
",F9 B5,Success,"['22 April 2020,', '19:30']",19:22
100,,CCAFS,,"15,410 kg",MEO,,,,,,,,,,,Starlink,"Success
",F9 B5,Success,"['30 May 2020,', '19:22']",01:25
101,,CCAFS,,"4,311 kg",GTO,,,,,,,,,,,Starlink,"Success
",F9 B5,Success,"['4 June 2020,', '01:25']",09:21
102,,CCAFS,,"5,000–6,000 kg",LEO,,,,,,,,,,,GPS III,"Success
",F9 B5,Success,"['13 June 2020,', '09:21']",20:10:46
103,,CCAFS,,"14,932 kg",LEO,,,,,,,,,,,ANASIS-II,"Success
",F9 B5B1058.2,Success,"['30 June 2020,', '20:10:46']",21:30
104,,KSC,,"~15,440 kg",SSO,,,,,,,,,,,Starlink,"Success
",F9 B5,Success,"['20 July 2020,', '21:30']",05:12
105,,CCAFS,,"3,130 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5B1049.6,Success,"['7 August 2020,', '05:12']",14:31
106,,CCAFS,,"15,600 kg",LEO,,,,,,,,,,,SAOCOM 1B,"Success
",F9 B5,Success,"['18 August 2020', '14:31']",23:18
107,,KSC,,"15,600 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5B1060.2,Success,"['30 August 2020', '23:18']",12:46:14
108,,KSC,,"15,600 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5B1058.3,Success,"['3 September 2020', '12:46:14']",11:29:34
109,,KSC,,"15,600 kg",MEO,,,,,,,,,,,Starlink,"Success
",F9 B5B1051.6,Success,"['6 October 2020', '11:29:34']",12:25:57
110,,CCAFS,,"4,311 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5,Success,"['18 October 2020', '12:25:57']",15:31:34
111,,CCAFS,,"~12,500 kg",LEO,,,,,,,,,,,GPS III,"Success
",F9 B5,Success,"['24 October 2020', '15:31:34']",23:24:23
112,,KSC,,"1,192 kg",LEO,,,,,,,,,,,Crew-1,"Success
",F9 B5,Success,"['5 November 2020', '23:24:23']",00:27
113,,VAFB,,"15,600 kg",LEO,,,,,,,,,,,Sentinel-6 Michael Freilich (Jason-CS A),"Success
",F9 B5,Success,"['16 November 2020', '00:27']",17:17:08
114,,CCAFS,,"2,972 kg",GTO,,,,,,,,,,,Starlink,"Success
",F9 B5 ♺,Success,"['21 November 2020', '17:17:08']",02:13
115,,KSC,,"7,000 kg",LEO,,,,,,,,,,,SpaceX CRS-21,"Success
",F9 B5 ♺,Success,"['25 November 2020', '02:13']",16:17:08
116,,CCSFS,,C,GTO,"Various
",,,,,,,,,,SXM-7,"Success
",F9 B5 ♺,Success,"['6 December 2020', '16:17:08']",17:30:00
117,,KSC,,"3,500 kg",LEO,,,,,,,,,,,NROL-108,"Success
",F9 B5 ♺,Failure,"['13 December 2020', '17:30:00']",14:00:00
118,,CCSFS,,"15,600 kg",SSO,,,,,,,,,,,Türksat 5A,"Success
",F9 B5,Success,"['19 December 2020', '14:00:00']",02:15
119,,KSC,,"~5,000 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5B1051.8,Success,"['8 January 2021', '02:15']",13:02
120,,CCSFS,,"15,600 kg",LEO,,,,,,,,,,,Transporter-1,"Success
",F9 B5B1058.5,Success,"['20 January 2021', '13:02']",15:00
121,,CCSFS,,"15,600 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5 ♺,Success,"['24 January 2021', '15:00']",06:19
1,,CCSFS,,"15,600 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5 ♺,Success,"['4 February 2021', '06:19']",03:59:37
2,,KSC,,"15,600 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5 ♺,Success,"['16 February 2021', '03:59:37']",08:24
3,,CCSFS,,"15,600 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5 ♺,Success,"['4 March 2021', '08:24']",08:13:29
4,,KSC,,"15,600 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5 ♺,Success,"['11 March 2021', '08:13:29']",10:01
5,,CCSFS,,"15,600 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5B1060.6,Success,"['14 March 2021', '10:01']",08:28
6,,CCSFS,,"~13,000 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5 ♺,Success,"['24 March 2021', '08:28']",16:34
7,,KSC,,"15,600 kg",LEO,,,,,,,,,,,Crew-2,"Success
",F9 B5B1061.2,Success,"['7 April 2021', '16:34']",9:49
8,,CCSFS,,"15,600 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5B1060.7,Success,"['23 April 2021', '9:49']",03:44
9,,KSC,,"15,600 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5B1049.9,Success,"['29 April 2021', '03:44']",19:01
10,,CCSFS,,"~14,000 kg",LEO,,,,,,,,,,,Starlink,"Success
",F9 B5B1051.10,Failure,"['4 May 2021', '19:01']",06:42
11,,KSC,,"15,600 kg",LEO,,,,,,,,,,,Starlink,Success,F9 B5B1058.8,Failure,"['9 May 2021', '06:42']",22:56
12,,CCSFS,,"3,328 kg",GTO,,,,,,,,,,,Starlink,Success,F9 B5B1063.2,"Not attempted
","['15 May 2021', '22:56']",18:59
13,,KSC,,"7,000 kg",LEO,,,,,,,,,,,SpaceX CRS-22,"Success
",F9 B5B1067.1,No attempt,"['26 May 2021', '18:59']",17:29
14,,CCSFS,,0,LEO,,,,,,,,,,,SXM-8,"Success
",F9 B5,"Not attempted
","['3 June 2021', '17:29']",04:26
15,,CCAFS,,0,LEO,,,,,,,,,,,Dragon Spacecraft Qualification Unit,Success,F9 v1.0B0003.1,Uncontrolled,"['6 June 2021', '04:26']",18:45
16,,CCAFS,,525 kg,LEO,,,,,,,,,,,Dragon,Success,F9 v1.0B0004.1,Not attempted,"['4 June 2010,', '18:45']",15:43
17,,CCAFS,,"4,700 kg",LEO,,,,,,,,,,,Dragon,Success,F9 v1.0B0005.1,Not attempted,"['8 December 2010,', '15:43']",07:44
18,,CCAFS,,"4,877 kg",Polar orbit,,,,,,,,,,,SpaceX CRS-1,"Success
",F9 v1.0B0006.1,Controlled,"['22 May 2012,', '07:44']",00:35
19,,CCAFS,,500 kg,GTO,,,,,,,,,,,SpaceX CRS-2,Success,F9 v1.0B0007.1,Controlled,"['8 October 2012,', '00:35']",15:10
20,,VAFB,,"3,170 kg",GTO,,,,,,,,,,,CASSIOPE,Success,F9 v1.1B1003,Not attempted,"['1 March 2013,', '15:10']",16:00
21,,CCAFS,,"3,325 kg",LEO,,,,,,,,,,,SES-8,Success,F9 v1.1,"Not attempted
","['29 September 2013,', '16:00']",22:41
22,,CCAFS,,"2,296 kg",LEO,,,,,,,,,,,Thaicom 6,Success,F9 v1.1,Uncontrolled,"['3 December 2013,', '22:41']",22:06
23,,Cape Canaveral,,"1,316 kg",GTO,,,,,,,,,,,SpaceX CRS-3,Success,F9 v1.1,Failure ,"['6 January 2014,', '22:06']",19:25
24,,Cape Canaveral,,"4,535 kg",GTO,,,,,,,,,,,Orbcomm-OG2,"Success
",F9 v1.1,Controlled,"['18 April 2014,', '19:25']",15:15
25,,Cape Canaveral,,"4,428 kg",LEO,,,,,,,,,,,AsiaSat 8,"Success
",F9 v1.1,Not attempted,"['14 July 2014,', '15:15']",08:00
26,,Cape Canaveral,,"2,216 kg",LEO,,,,,,,,,,,AsiaSat 6,"Success
",F9 v1.1,Failure,"['5 August 2014,', '08:00']",05:00
27,,Cape Canaveral,,"2,395 kg",HEO,,,,,,,,,,,SpaceX CRS-4,"Success
",F9 v1.1,Not attempted,"['7 September 2014,', '05:00']",05:52
28,,Cape Canaveral,,570 kg,GTO,,,,,,,,,,,SpaceX CRS-5,Failure,F9 v1.1,Precluded,"['21 September 2014,', '05:52']",09:47
29,,Cape Canaveral,,"4,159 kg",LEO,,,,,,,,,,,DSCOVR,"Success
",F9 v1.1,Success,"['10 January 2015,', '09:47']",23:03
30,,Cape Canaveral,,"1,898 kg",GTO,,,,,,,,,,,ABS-3A,"Success
",F9 v1.1,Failure,"['11 February 2015,', '23:03']",03:50
